Nature,Increased,Decreased
Neutral,—,—
Lonely,Attack,Defense
Brave,Attack,Speed
Adamant,Attack,SP_Attack
Naughty,Attack,SP_Defense
Bold,Defense,Attack
Relaxed,Defense,Speed
Impish,Defense,SP_Attack
Lax,Defense,SP_Defense
Timid,Speed,Attack
Hasty,Speed,Defense
Jolly,Speed,SP_Attack
Naive,Speed,SP_Defense
Modest,SP_Attack,Attack
Mild,SP_Attack,Defense
Quiet,SP_Attack,Speed
Rash,SP_Attack,SP_Defense
Calm,SP_Defense,Attack
Gentle,SP_Defense,Defense
Sassy,SP_Defense,Speed
Careful,SP_Defense,SP_Attack
