Order	Types	Normal	Fighting	Flying	Poison	Ground	Stone	Bug	Undead	Metal	Fire	Water	Plant	Electric	Psychic	Ice	Dragon	Dark	Light
1	Normal	1	1	1	2	1	0.5	1	0	0.5	1	1	1	1	1	0.5	1	1	2
2	Fighting	2	1	0.5	0.5	0.5	2	0.5	0	2	1	1	1	1	0.5	2	1	2	0.5
3	Flying	1	2	1	1	1	0.5	2	1	0.5	1	1	1	0.5	1	0.5	1	1	1
4	Poison	1	1	1	0.5	0.5	0.5	1	1	0	1	1	2	1	1	2	1	1	2
5	Ground	1	1	0	2	1	0.5	0.5	1	2	2	1	0.5	2	1	1	0.5	1	1
6	Stone	1	0.5	2	1	0.5	0.5	2	1	0.5	2	1	0	1	1	2	1	1	1
7	Bug	1	0.5	0.5	2	1	0.5	1	1	0.5	0.5	1	2	1	2	0.5	1	2	0.5
8	Undead	0	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	0.5	1
9	Metal	1	1	1	1	1	2	1	1	0.5	0.5	0.5	1	0.5	1	2	1	1	2
10	Fire	1	1	1	0.5	1	0.5	1	1	2	0.5	0.5	2	1	1	2	0.5	1	1
11	Water	1	1	1	1	2	2	1	1	1	2	0.5	0.5	1	1	0.5	0.5	1	1
12	Plant	1	1	0.5	0.5	2	2	1	1	1	0.5	2	0.5	1	1	0.5	0.5	1	1
13	Electric	2	1	2	1	0	0.5	1	1	2	1	2	0.5	1	1	0	0.5	1	1
14	Psychic	1	2	1	2	1	1	1	1	0.5	1	1	1	1	0.5	1	1	0	1
15	Ice	1	0.5	2	0.5	2	1	1	1	0.5	0.5	0.5	2	1	1	0.5	2	1	1
16	Dragon	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	0
17	Dark	1	0.5	1	1	1	1	1	0	1	1	1	1	1	2	1	1	0.5	0.5
18	Light	1	2	1	0.5	1	1	1	1	0.5	0.5	1	1	1	0	1	2	2	1
